VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7
106,15,1,0,2,0,5,0,0,0,7,0,0,0,0
107,15,1,0,0,0,1,1,0,12,0,0,0,0,0
108,15,1,0,1,0,0,13,0,0,0,0,0,0,0
109,15,0,0,0,0,7,0,7,0,0,1,0,0,0
110,15,5,1,1,0,0,0,0,0,0,0,0,0,0
111,15,2,0,2,0,7,0,3,0,1,0,0,0,0
112,15,1,0,2,0,3,0,0,9,0,0,0,0,0
113,15,1,0,0,0,0,0,0,0,0,2,1,0,0
114,15,1,2,1,0,5,0,5,0,0,1,0,0,0
115,13,4,0,0,0,0,0,0,0,6,0,0,3,0
116,15,0,0,0,0,5,0,8,0,2,0,0,0,0
117,13,0,0,0,0,4,0,5,0,2,2,0,0,0
118,15,0,3,0,0,1,0,3,0,8,0,0,0,0
119,15,6,0,0,0,0,0,0,0,0,9,0,0,0
120,15,3,0,2,0,1,0,3,0,4,0,2,0,0
121,15,2,0,0,0,0,0,0,13,0,0,0,0,0
122,15,1,0,0,0,0,0,0,0,0,14,0,0,0
123,15,1,0,0,0,0,0,0,0,0,14,0,0,0
124,15,1,0,0,0,0,0,0,0,0,14,0,0,0
125,15,0,0,0,0,2,0,1,0,3,0,5,0,0
126,15,0,0,0,0,1,0,4,0,6,0,3,0,0
127,15,2,0,0,0,0,0,0,0,1,0,0,0,0
128,15,1,0,0,0,2,0,0,12,0,0,0,0,0
129,15,8,0,1,0,1,0,2,0,2,0,0,0,1
130,15,2,0,0,0,2,0,5,0,6,0,0,0,0
131,15,2,0,0,0,2,0,9,0,2,0,0,0,0
132,15,0,0,0,0,0,15,0,0,0,0,0,0,0
133,15,0,0,0,0,3,0,3,0,0,9,0,0,0
134,15,2,0,1,1,0,0,0,0,0,1,0,0,0
135,15,1,0,0,0,0,0,0,0,2,0,0,0,0
136,15,2,0,0,1,2,1,7,0,1,0,0,0,0
137,15,4,0,0,0,0,0,0,0,2,1,1,0,0
138,15,0,0,0,0,0,0,1,0,5,0,0,9,0
139,15,4,0,0,0,0,0,1,0,1,0,0,0,0
140,15,1,0,1,0,0,0,0,0,0,0,0,0,0
141,15,1,0,0,0,2,0,5,0,5,0,1,0,0
142,15,1,0,1,0,1,0,5,0,6,0,1,0,0
143,15,5,0,1,0,0,0,8,0,1,0,0,0,0
144,15,6,0,0,0,3,0,5,0,1,0,0,0,0
145,15,2,0,0,0,3,0,6,0,4,0,0,0,0
146,12,7,0,1,0,0,0,0,0,0,0,0,0,0
147,15,3,1,0,0,1,0,1,0,0,1,2,0,0
148,15,1,0,0,0,1,0,7,0,0,0,6,0,0
149,15,7,0,2,0,3,2,0,0,0,0,0,0,1
150,15,3,1,1,0,0,0,0,1,0,0,2,0,0
151,15,3,1,2,1,5,0,1,0,0,0,0,0,0
152,14,0,0,0,0,0,0,14,0,0,0,0,0,0
153,18,4,3,2,0,1,0,0,0,1,1,0,0,0
154,15,0,0,2,0,2,0,8,0,0,3,0,0,0
155,15,3,0,0,1,4,0,7,0,0,0,0,0,0
156,15,2,0,0,0,0,0,0,0,0,0,1,0,2
157,15,4,0,0,0,0,0,0,0,1,0,1,0,0
158,15,1,0,0,0,2,1,6,0,4,0,1,0,0
159,15,7,0,1,0,4,0,3,0,0,0,0,0,0
160,15,0,0,1,0,5,0,8,0,0,0,0,0,0
161,15,3,0,1,1,5,0,0,0,0,5,0,0,0
162,15,4,0,0,0,0,0,1,0,1,0,0,0,0
163,15,1,0,2,0,4,0,5,0,1,0,0,0,0
164,15,3,0,0,0,4,0,6,0,2,0,0,0,0
165,15,1,0,0,0,5,0,8,0,1,0,0,0,0
166,15,1,0,0,0,2,0,9,0,2,0,1,0,0
167,15,1,0,1,0,5,0,4,0,2,1,0,0,0
168,15,6,0,0,1,0,0,1,0,0,0,0,7,0
169,15,2,0,0,0,1,0,0,0,2,0,1,0,0
170,15,2,1,1,0,0,0,0,0,1,0,0,0,0
171,14,1,0,2,0,0,0,0,0,1,1,0,0,0
172,15,0,1,0,0,5,0,2,0,6,0,0,0,0
173,15,0,0,0,0,5,0,3,0,5,0,2,0,0
174,15,3,0,2,0,1,0,4,1,3,0,1,0,0
175,15,6,0,1,0,4,0,4,0,0,0,0,0,0
