VIAL,POPULATION,CONTINENT,TREATMENT,K1,K2,K5,K6,K7
142,AS1,ASIA,T,0,0,0,0,0
143,EU1,EUROPE,T,0,0,0,0,0
144,EU1,EUROPE,T,0,0,0,0,0
145,AM1,AMERICA,C,0,0,0,0,0
146,AS2,ASIA,T,0,0,0,0,0
147,EU2,EUROPE,T,0,0,0,0,0
148,AS1,ASIA,T,0,0,0,0,0
149,EU2,EUROPE,C,0,0,0,0,0
150,AF2,AFRICA,C,0,0,0,0,0
151,AF2,AFRICA,T,0,0,0,0,0
152,AF2,AFRICA,C,0,0,0,0,0
153,AS2,ASIA,T,0,0,0,0,0
154,AF1,AFRICA,T,0,0,0,0,0
155,AM2,AMERICA,T,0,0,0,0,0
156,AF1,AFRICA,T,0,0,0,0,0
157,AF1,AFRICA,T,0,0,0,0,0
158,AF1,AFRICA,T,0,0,0,0,0
159,EU2,EUROPE,T,0,0,0,0,0
160,AF2,AFRICA,C,0,0,0,0,0
161,AS1,ASIA,T,0,0,0,0,0
162,AS2,ASIA,C,0,0,0,0,0
163,AF1,AFRICA,C,0,0,0,0,0
164,AS1,ASIA,T,0,0,0,0,0
165,AS2,ASIA,T,0,0,0,0,0
166,AM2,AMERICA,C,0,0,0,0,0
167,EU1,EUROPE,T,0,0,0,0,0
168,EU1,EUROPE,T,0,0,0,0,0
169,AF2,AFRICA,T,0,0,0,0,0
170,AS1,ASIA,T,0,0,0,0,0
171,AF2,AFRICA,C,0,0,0,0,0
172,AF2,AFRICA,C,0,0,0,0,0
173,AM2,AMERICA,C,0,0,0,0,0
174,AM1,AMERICA,T,0,0,0,0,0
175,AM1,AMERICA,T,0,0,0,0,0
176,EU2,EUROPE,T,0,0,0,0,0
177,EU2,EUROPE,C,0,0,0,0,0
178,EU2,EUROPE,T,0,0,0,0,0
179,AS1,ASIA,T,0,0,0,0,0
180,AM1,AMERICA,C,0,0,0,0,0
181,AF1,AFRICA,C,0,0,0,0,0
182,AM1,AMERICA,C,0,0,0,0,0
183,AM1,AMERICA,T,0,0,0,0,0
184,AF2,AFRICA,T,0,0,0,0,0
185,AM1,AMERICA,T,0,0,0,0,0
186,AS1,ASIA,C,0,0,0,0,0
187,AS1,ASIA,T,0,0,0,0,0
188,EU2,EUROPE,C,0,0,0,0,0
189,AS2,ASIA,T,0,0,0,0,0
190,AF1,AFRICA,T,0,0,0,0,0
191,AM2,AMERICA,T,1,0,0,0,0
192,AS1,ASIA,T,0,0,0,0,0
193,AM2,AMERICA,T,0,0,0,0,0
194,AS2,ASIA,T,0,0,0,0,0
195,AS1,ASIA,T,0,0,0,0,0
196,AS1,ASIA,C,0,0,0,0,0
197,AF2,AFRICA,T,0,0,0,0,0
198,AF2,AFRICA,C,0,0,0,0,0
199,EU2,EUROPE,T,0,0,0,0,0
200,AS2,ASIA,T,0,0,0,0,0
201,AS1,ASIA,T,0,0,0,0,0
202,EU1,EUROPE,T,0,0,0,0,0
203,AF1,AFRICA,T,0,0,0,0,0
204,EU2,EUROPE,T,0,0,0,0,0
205,AM2,AMERICA,T,0,0,0,0,0
206,AS1,ASIA,C,0,0,0,0,0
207,EU2,EUROPE,C,0,0,1,0,0
208,AS1,ASIA,T,0,0,0,0,0
209,AS2,ASIA,T,0,0,0,0,0
210,EU2,EUROPE,C,0,0,0,0,0
211,EU2,EUROPE,T,0,0,0,0,0
212,AM1,AMERICA,T,0,0,0,0,0
213,AM1,AMERICA,T,0,0,0,0,0
214,AM2,AMERICA,T,0,0,0,0,0
215,AF2,AFRICA,T,0,0,0,0,1
216,AS2,ASIA,C,0,0,0,0,0
217,AS2,ASIA,T,0,0,0,0,0
218,AS1,ASIA,C,0,0,0,0,0
219,AF2,AFRICA,T,0,0,0,0,0
220,EU1,EUROPE,C,0,0,0,0,0
221,AF2,AFRICA,T,0,0,0,0,0
222,EU1,EUROPE,T,0,0,0,0,0
223,AF1,AFRICA,T,0,0,0,0,0
224,EU2,EUROPE,C,0,0,0,0,0
225,AM1,AMERICA,T,1,0,0,0,0
226,AF1,AFRICA,T,0,0,0,0,0
227,AF2,AFRICA,T,0,0,0,0,0
228,EU2,EUROPE,T,0,0,0,0,0
229,AS2,ASIA,T,0,0,0,0,0
230,AM2,AMERICA,T,0,0,0,0,0
231,AS2,ASIA,T,0,0,0,0,0
232,AM1,AMERICA,T,0,0,0,0,0
233,AS2,ASIA,T,0,0,0,0,0
234,AM1,AMERICA,T,0,0,0,0,0
235,AF2,AFRICA,T,0,0,0,0,0
236,AM1,AMERICA,T,0,0,0,0,0
237,EU2,EUROPE,T,0,0,0,0,0
238,AM2,AMERICA,C,0,0,0,0,0
239,AM2,AMERICA,T,0,0,0,0,0
240,EU1,EUROPE,T,0,0,0,0,0
241,AS2,ASIA,T,0,0,0,0,0
242,AM1,AMERICA,T,0,0,0,0,0
243,AM1,AMERICA,T,0,0,0,0,0
244,EU2,EUROPE,T,0,0,0,0,0
245,AM2,AMERICA,T,0,0,0,0,0
246,AM2,AMERICA,T,0,0,0,0,0
247,AF2,AFRICA,T,0,0,0,0,0
248,AS2,ASIA,T,0,0,0,0,0
249,EU1,EUROPE,T,0,0,0,0,0
250,EU1,EUROPE,T,0,0,0,0,0
251,AF1,AFRICA,T,0,0,0,0,0
252,AF1,AFRICA,C,0,0,0,0,0
253,AS2,ASIA,T,0,0,0,0,0
254,EU1,EUROPE,T,0,0,0,0,0
255,AS2,ASIA,T,0,0,0,0,0
256,AM2,AMERICA,T,1,0,0,0,0
257,AS1,ASIA,C,0,0,0,0,0
258,AF1,AFRICA,T,0,0,0,0,0
259,AF1,AFRICA,T,0,0,0,0,0
260,EU1,EUROPE,T,0,0,0,0,0
261,AS1,ASIA,T,0,0,0,0,0
262,EU1,EUROPE,T,0,0,0,0,0
263,AM2,AMERICA,T,0,0,0,0,0
264,AF1,AFRICA,T,0,0,0,0,0
265,AF1,AFRICA,C,0,0,0,0,0
266,AM1,AMERICA,T,0,0,0,0,0
267,AF2,AFRICA,T,0,0,0,0,0
268,AF2,AFRICA,T,0,0,0,0,0
269,EU1,EUROPE,T,0,0,0,0,0
270,EU1,EUROPE,T,0,0,0,0,0
271,EU1,EUROPE,C,0,0,0,0,0
272,AF1,AFRICA,C,0,0,0,0,0
273,AF1,AFRICA,C,0,0,0,0,0
274,EU1,EUROPE,T,0,0,0,0,0
275,AM1,AMERICA,T,0,0,0,0,0
276,AF2,AFRICA,T,0,0,0,0,0
277,EU2,EUROPE,T,0,0,0,0,0
278,AM1,AMERICA,C,0,0,0,0,0
279,EU1,EUROPE,T,0,0,0,0,0
280,AS2,ASIA,C,0,0,0,0,0
