VIAL,POPULATION,CONTINENT,TREATMENT
238,AM2,AMERICA,C
239,AM2,AMERICA,T
240,EU1,EUROPE,T
241,AS2,ASIA,T
242,AM1,AMERICA,T
243,AM1,AMERICA,T
244,EU2,EUROPE,T
245,AM2,AMERICA,T
246,AM2,AMERICA,T
247,AF2,AFRICA,T
248,AS2,ASIA,T
249,EU1,EUROPE,T
250,EU1,EUROPE,T
251,AF1,AFRICA,T
252,AF1,AFRICA,C
253,AS2,ASIA,T
254,EU1,EUROPE,T
255,AS2,ASIA,T
256,AM2,AMERICA,T
257,AS1,ASIA,C
258,AF1,AFRICA,T
259,AF1,AFRICA,T
260,EU1,EUROPE,T
261,AS1,ASIA,T
262,EU1,EUROPE,T
263,AM2,AMERICA,T
264,AF1,AFRICA,T
265,AF1,AFRICA,C
266,AM1,AMERICA,T
267,AF2,AFRICA,T
268,AF2,AFRICA,T
269,EU1,EUROPE,T
270,EU1,EUROPE,T
271,EU1,EUROPE,C
272,AF1,AFRICA,C
273,AF1,AFRICA,C
274,EU1,EUROPE,T
275,AM1,AMERICA,T
276,AF2,AFRICA,T
277,EU2,EUROPE,T
278,AM1,AMERICA,C
279,EU1,EUROPE,T
280,AS2,ASIA,C
