VIAL,START,D1,E1,D2,E2,D3,E3,D4,E4,D5,E5,D6,E6,D7,E7
99,14,0,0,1,0,2,0,0,0,2,0,0,0,2,0
100,15,1,0,0,0,0,1,0,0,2,0,0,0,1,0
101,15,5,0,2,0,0,0,0,1,0,0,0,0,2,0
102,14,10,0,0,0,0,0,0,0,2,0,0,0,1,0
103,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
104,15,4,0,1,0,2,1,2,0,0,0,0,0,1,0
105,15,9,0,0,0,0,0,0,0,0,0,0,0,1,0
106,15,1,0,0,0,1,0,3,1,1,0,2,0,0,0
107,15,1,0,1,0,1,0,3,0,1,0,3,0,2,0
108,15,4,0,1,0,1,0,1,0,4,0,0,1,0,0
109,13,5,0,2,0,0,0,2,0,1,1,0,0,2,0
110,15,4,0,0,1,0,1,0,0,1,0,0,0,0,0
111,13,6,0,0,0,1,0,1,0,0,0,0,0,0,0
112,14,1,0,0,1,1,0,3,0,0,1,0,0,0,0
113,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,15,5,0,0,0,0,0,2,0,0,0,3,0,1,0
115,15,3,0,0,0,1,0,0,0,0,0,2,0,0,0
116,12,1,0,0,0,0,0,2,0,5,0,0,0,4,0
117,15,8,0,0,1,0,0,1,0,0,0,0,0,0,0
118,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0
119,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0
120,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0
121,12,1,0,0,0,0,1,2,0,0,0,0,0,0,0
122,15,1,0,3,0,1,0,2,0,1,1,0,0,0,0
123,13,2,0,0,0,2,0,3,0,3,0,3,0,0,0
124,15,0,0,0,0,0,0,3,0,1,0,1,0,0,0
125,13,1,0,0,0,0,0,3,0,3,0,0,0,1,0
126,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
127,15,0,0,2,0,1,0,1,0,0,0,2,0,1,0
128,14,0,0,0,0,1,0,1,0,2,0,0,0,2,0
129,15,6,0,2,0,1,0,2,0,1,0,2,0,1,0
130,15,4,0,0,0,0,0,1,0,4,0,1,0,0,0
131,15,3,0,1,1,4,0,1,0,1,0,3,0,1,0
132,15,6,0,0,0,0,0,0,0,1,0,0,0,2,0
133,13,5,0,1,0,0,0,1,0,0,0,0,0,2,0
134,14,2,0,1,0,0,0,1,0,0,0,0,0,2,0
135,15,1,0,0,0,3,0,2,0,5,0,1,0,1,0
136,15,6,0,0,0,0,0,1,0,1,0,1,0,1,0
137,15,4,0,0,0,1,1,1,0,2,0,0,0,2,0
138,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,15,5,0,0,0,0,0,0,1,0,0,0,0,0,0
140,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,15,1,0,0,0,2,0,0,0,0,0,0,0,0,0
142,14,1,0,0,0,1,0,1,0,1,0,3,0,1,0
143,13,5,0,0,0,0,0,1,0,1,0,0,0,2,0
144,15,5,0,2,0,0,0,1,0,0,0,0,0,4,0
145,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0
146,15,6,0,1,0,1,0,2,0,0,0,3,0,2,0
147,14,2,0,0,0,0,0,2,0,0,0,0,0,1,0
148,15,10,0,0,0,1,0,0,0,0,0,0,0,0,0
149,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0
150,15,4,0,0,0,0,0,0,0,2,0,0,0,0,0
151,15,2,0,0,0,1,0,5,0,1,0,2,0,0,0
152,14,4,0,0,0,1,0,1,0,0,1,0,0,0,0
153,15,1,0,0,0,1,0,2,0,0,1,1,0,1,0
154,15,5,0,0,0,2,0,1,0,2,0,1,0,0,0
155,15,0,0,0,0,0,0,1,0,3,0,0,0,1,0
156,15,4,0,0,0,0,0,0,0,2,0,1,0,4,0
157,13,0,0,0,0,1,0,1,0,1,0,2,0,1,0
158,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0
159,13,1,0,0,0,0,0,1,1,5,0,2,0,1,0
160,15,3,0,2,0,0,0,2,0,1,0,0,0,0,0
161,15,10,0,0,0,0,0,0,0,0,0,1,0,3,0
162,14,9,0,0,0,0,0,0,0,1,0,0,0,0,0
163,15,6,0,2,0,0,0,0,0,1,0,0,0,0,0
164,15,8,0,0,0,0,0,1,0,0,0,0,0,0,0
165,14,10,0,0,1,0,0,0,0,0,0,0,0,0,0
166,14,0,1,2,0,0,1,1,0,0,0,0,0,0,0
167,15,11,0,0,0,1,0,0,0,1,0,1,0,0,0
168,14,0,0,0,0,0,0,0,0,3,0,0,0,2,0
169,14,7,0,1,0,1,0,0,0,0,0,0,0,0,0
170,14,6,0,0,0,0,0,0,0,1,0,0,0,0,0
171,15,4,0,0,0,2,0,0,0,0,0,0,0,0,0
172,15,3,0,0,1,0,1,0,0,0,0,0,0,2,0
173,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0
174,14,4,0,1,0,1,0,2,0,3,0,0,0,3,0
175,15,1,0,0,1,0,1,0,0,0,0,0,0,2,0
176,15,2,0,0,0,3,0,0,0,4,0,1,0,2,0
177,15,2,0,1,0,1,0,2,0,1,0,0,0,0,0
178,15,5,0,1,0,2,0,1,0,1,0,1,0,0,0
179,14,6,0,0,0,1,0,0,0,0,0,0,0,0,0
180,14,1,0,0,0,0,0,0,0,0,1,0,0,3,0
181,15,13,0,0,0,1,0,0,0,0,0,0,0,0,0
182,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0
183,15,0,0,1,0,1,0,1,0,1,0,2,0,2,0
184,15,2,0,0,0,1,0,0,0,2,0,1,0,1,0
185,13,0,0,0,0,0,0,0,0,0,0,2,0,2,0
186,14,4,0,0,0,1,0,0,0,0,1,2,0,0,0
187,13,4,0,0,0,1,0,2,0,1,0,0,0,1,0
188,15,5,0,0,0,1,0,0,0,0,0,0,0,0,0
189,14,4,0,1,0,0,1,1,0,1,0,0,0,1,0
190,15,10,0,0,0,1,0,0,0,0,0,0,0,2,0
191,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,15,10,0,0,0,0,0,1,0,1,0,0,0,1,0
193,13,0,0,0,2,2,0,1,0,0,0,0,0,0,0
194,14,1,1,0,0,1,0,2,0,2,0,1,0,2,0
195,12,1,0,0,1,0,0,2,0,2,0,0,0,3,0
196,15,5,0,0,0,0,0,1,0,0,0,1,0,0,0
197,14,2,0,0,0,0,0,0,0,2,0,1,0,4,0
198,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
199,15,1,0,1,0,3,0,1,0,1,0,3,0,2,0
200,15,1,0,0,0,1,0,3,0,3,0,3,0,1,0
201,12,7,0,0,0,1,0,2,0,0,0,0,0,0,0
202,15,9,0,0,0,1,1,0,0,0,0,0,1,0,0
203,15,7,0,0,0,1,0,0,0,1,0,1,0,2,0
204,15,3,0,2,1,0,0,1,0,0,0,2,0,0,0
205,15,2,0,1,0,1,0,1,0,2,0,0,0,0,0
206,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0
207,15,2,0,0,3,0,0,0,0,0,0,0,0,0,0
208,15,2,0,0,0,0,0,1,0,3,0,1,0,4,0
209,11,3,0,0,0,0,0,0,0,3,0,0,0,0,0
210,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0
211,14,10,0,0,0,0,0,0,0,0,0,1,0,0,0
212,15,3,0,1,0,2,0,1,0,4,0,1,0,0,0
213,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0
214,15,2,0,0,0,0,0,4,0,4,0,1,0,1,0
215,15,3,0,1,0,0,0,0,0,3,0,0,0,0,0
216,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0
217,15,1,0,0,0,1,0,1,0,1,0,1,0,2,0
218,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
219,15,5,0,0,0,0,0,1,0,2,1,0,0,3,0
220,15,2,0,1,0,0,0,1,0,1,0,0,0,0,0
221,15,2,0,0,0,0,0,1,0,3,0,3,0,2,0
222,15,9,0,0,0,0,0,0,0,1,0,0,0,0,0
223,15,4,0,1,0,1,0,0,0,1,1,0,0,1,0
224,15,7,0,0,0,0,0,2,0,0,0,0,0,0,0
225,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,15,11,0,0,0,0,0,0,0,1,0,1,0,2,0
227,14,3,0,2,0,2,0,2,0,1,1,0,0,1,0
228,15,3,0,0,0,3,1,1,0,1,0,1,0,2,0
229,15,4,0,0,0,1,0,0,0,3,0,1,0,1,0
230,15,4,0,1,0,1,0,1,1,4,0,0,0,1,0
231,15,9,0,0,0,0,0,1,0,0,0,2,0,1,0
232,15,3,0,0,0,0,1,0,0,1,1,0,0,2,0
233,15,3,0,2,0,0,0,0,1,0,0,0,0,0,0
234,12,4,0,0,0,0,0,0,0,1,0,3,0,4,0
235,14,4,0,0,0,1,0,3,0,1,0,2,0,0,0
236,15,1,0,0,0,1,0,4,0,0,0,2,0,4,0
237,13,2,0,0,0,2,0,0,1,3,0,0,0,0,0
238,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0
239,15,2,0,0,0,2,0,0,0,2,0,2,0,0,0
240,14,3,0,1,0,0,0,0,0,2,0,1,0,0,0
241,15,2,0,0,0,1,0,1,0,2,0,1,0,0,0
242,15,1,0,0,0,0,0,0,1,0,0,0,0,2,0
243,15,4,0,0,0,0,0,1,0,1,0,1,0,0,0
244,15,0,0,0,1,0,1,0,0,3,0,3,1,0,0
245,14,1,0,1,0,0,0,2,0,0,0,3,0,0,0
246,15,2,1,0,1,0,0,0,0,2,0,1,0,3,0
247,15,3,0,0,0,2,0,0,0,0,0,0,0,1,0
248,15,5,0,2,2,1,1,0,0,1,0,0,0,1,0
249,15,5,0,0,0,2,1,0,0,1,0,0,0,0,0
250,15,0,0,1,0,1,0,1,0,0,0,2,0,0,0
251,14,5,0,1,0,0,0,1,0,1,0,1,0,0,0
252,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0
253,13,2,0,0,0,0,0,2,1,0,0,0,0,0,0
254,13,4,0,0,0,2,0,2,0,3,0,1,0,0,0
255,14,3,0,0,0,0,0,0,0,2,0,0,0,1,0
256,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
