FLY,VIAL,TIME,CENSUS,POPULATION,CONTINENT,TREATMENT
2302,161,3,1,AS1,ASIA,T
2303,161,3,1,AS1,ASIA,T
2304,161,3,1,AS1,ASIA,T
2305,161,3,1,AS1,ASIA,T
2306,161,3,1,AS1,ASIA,T
2307,161,3,1,AS1,ASIA,T
2308,161,3,1,AS1,ASIA,T
2309,161,3,1,AS1,ASIA,T
2310,161,3,1,AS1,ASIA,T
2311,161,3,1,AS1,ASIA,T
2312,161,18,1,AS1,ASIA,T
2313,161,21,1,AS1,ASIA,T
2314,161,21,1,AS1,ASIA,T
2315,161,21,1,AS1,ASIA,T
2316,161,21,0,AS1,ASIA,T
2317,162,3,1,AS2,ASIA,C
2318,162,3,1,AS2,ASIA,C
2319,162,3,1,AS2,ASIA,C
2320,162,3,1,AS2,ASIA,C
2321,162,3,1,AS2,ASIA,C
2322,162,3,1,AS2,ASIA,C
2323,162,3,1,AS2,ASIA,C
2324,162,3,1,AS2,ASIA,C
2325,162,3,1,AS2,ASIA,C
2326,162,15,1,AS2,ASIA,C
2327,162,21,0,AS2,ASIA,C
2328,162,21,0,AS2,ASIA,C
2329,162,21,0,AS2,ASIA,C
2330,162,21,0,AS2,ASIA,C
2331,163,3,1,AF1,AFRICA,C
2332,163,3,1,AF1,AFRICA,C
2333,163,3,1,AF1,AFRICA,C
2334,163,3,1,AF1,AFRICA,C
2335,163,3,1,AF1,AFRICA,C
2336,163,3,1,AF1,AFRICA,C
2337,163,6,1,AF1,AFRICA,C
2338,163,6,1,AF1,AFRICA,C
2339,163,15,1,AF1,AFRICA,C
2340,163,21,0,AF1,AFRICA,C
2341,163,21,0,AF1,AFRICA,C
2342,163,21,0,AF1,AFRICA,C
2343,163,21,0,AF1,AFRICA,C
2344,163,21,0,AF1,AFRICA,C
2345,163,21,0,AF1,AFRICA,C
2346,164,3,1,AS1,ASIA,T
2347,164,3,1,AS1,ASIA,T
2348,164,3,1,AS1,ASIA,T
2349,164,3,1,AS1,ASIA,T
2350,164,3,1,AS1,ASIA,T
2351,164,3,1,AS1,ASIA,T
2352,164,3,1,AS1,ASIA,T
2353,164,3,1,AS1,ASIA,T
2354,164,12,1,AS1,ASIA,T
2355,164,21,0,AS1,ASIA,T
2356,164,21,0,AS1,ASIA,T
2357,164,21,0,AS1,ASIA,T
2358,164,21,0,AS1,ASIA,T
2359,164,21,0,AS1,ASIA,T
2360,164,21,0,AS1,ASIA,T
2361,165,3,1,AS2,ASIA,T
2362,165,3,1,AS2,ASIA,T
2363,165,3,1,AS2,ASIA,T
2364,165,3,1,AS2,ASIA,T
2365,165,3,1,AS2,ASIA,T
2366,165,3,1,AS2,ASIA,T
2367,165,3,1,AS2,ASIA,T
2368,165,3,1,AS2,ASIA,T
2369,165,3,1,AS2,ASIA,T
2370,165,3,1,AS2,ASIA,T
2371,165,6,0,AS2,ASIA,T
2372,165,21,0,AS2,ASIA,T
2373,165,21,0,AS2,ASIA,T
2374,165,21,0,AS2,ASIA,T
2375,166,3,0,AM2,AMERICA,C
2376,166,6,1,AM2,AMERICA,C
2377,166,6,1,AM2,AMERICA,C
2378,166,9,0,AM2,AMERICA,C
2379,166,12,1,AM2,AMERICA,C
2380,166,21,0,AM2,AMERICA,C
2381,166,21,0,AM2,AMERICA,C
2382,166,21,0,AM2,AMERICA,C
2383,166,21,0,AM2,AMERICA,C
2384,166,21,0,AM2,AMERICA,C
2385,166,21,0,AM2,AMERICA,C
2386,166,21,0,AM2,AMERICA,C
2387,166,21,0,AM2,AMERICA,C
2388,166,21,0,AM2,AMERICA,C
2389,167,3,1,EU1,EUROPE,T
2390,167,3,1,EU1,EUROPE,T
2391,167,3,1,EU1,EUROPE,T
2392,167,3,1,EU1,EUROPE,T
2393,167,3,1,EU1,EUROPE,T
2394,167,3,1,EU1,EUROPE,T
2395,167,3,1,EU1,EUROPE,T
2396,167,3,1,EU1,EUROPE,T
2397,167,3,1,EU1,EUROPE,T
2398,167,3,1,EU1,EUROPE,T
2399,167,3,1,EU1,EUROPE,T
2400,167,9,1,EU1,EUROPE,T
2401,167,15,1,EU1,EUROPE,T
2402,167,18,1,EU1,EUROPE,T
2403,167,21,0,EU1,EUROPE,T
2404,168,15,1,EU1,EUROPE,T
2405,168,15,1,EU1,EUROPE,T
2406,168,15,1,EU1,EUROPE,T
2407,168,21,1,EU1,EUROPE,T
2408,168,21,1,EU1,EUROPE,T
2409,168,21,0,EU1,EUROPE,T
2410,168,21,0,EU1,EUROPE,T
2411,168,21,0,EU1,EUROPE,T
2412,168,21,0,EU1,EUROPE,T
2413,168,21,0,EU1,EUROPE,T
2414,168,21,0,EU1,EUROPE,T
2415,168,21,0,EU1,EUROPE,T
2416,168,21,0,EU1,EUROPE,T
2417,168,21,0,EU1,EUROPE,T
2418,169,3,1,AF2,AFRICA,T
2419,169,3,1,AF2,AFRICA,T
2420,169,3,1,AF2,AFRICA,T
2421,169,3,1,AF2,AFRICA,T
2422,169,3,1,AF2,AFRICA,T
2423,169,3,1,AF2,AFRICA,T
2424,169,3,1,AF2,AFRICA,T
2425,169,6,1,AF2,AFRICA,T
2426,169,9,1,AF2,AFRICA,T
2427,169,21,0,AF2,AFRICA,T
2428,169,21,0,AF2,AFRICA,T
2429,169,21,0,AF2,AFRICA,T
2430,169,21,0,AF2,AFRICA,T
2431,169,21,0,AF2,AFRICA,T
2432,170,3,1,AS1,ASIA,T
2433,170,3,1,AS1,ASIA,T
2434,170,3,1,AS1,ASIA,T
2435,170,3,1,AS1,ASIA,T
2436,170,3,1,AS1,ASIA,T
2437,170,3,1,AS1,ASIA,T
2438,170,15,1,AS1,ASIA,T
2439,170,21,0,AS1,ASIA,T
2440,170,21,0,AS1,ASIA,T
2441,170,21,0,AS1,ASIA,T
2442,170,21,0,AS1,ASIA,T
2443,170,21,0,AS1,ASIA,T
2444,170,21,0,AS1,ASIA,T
2445,170,21,0,AS1,ASIA,T
2446,171,3,1,AF2,AFRICA,C
2447,171,3,1,AF2,AFRICA,C
2448,171,3,1,AF2,AFRICA,C
2449,171,3,1,AF2,AFRICA,C
2450,171,9,1,AF2,AFRICA,C
2451,171,9,1,AF2,AFRICA,C
2452,171,21,0,AF2,AFRICA,C
2453,171,21,0,AF2,AFRICA,C
2454,171,21,0,AF2,AFRICA,C
2455,171,21,0,AF2,AFRICA,C
2456,171,21,0,AF2,AFRICA,C
2457,171,21,0,AF2,AFRICA,C
2458,171,21,0,AF2,AFRICA,C
2459,171,21,0,AF2,AFRICA,C
2460,171,21,0,AF2,AFRICA,C
2461,172,3,1,AF2,AFRICA,C
2462,172,3,1,AF2,AFRICA,C
2463,172,3,1,AF2,AFRICA,C
2464,172,6,0,AF2,AFRICA,C
2465,172,9,0,AF2,AFRICA,C
2466,172,21,1,AF2,AFRICA,C
2467,172,21,1,AF2,AFRICA,C
2468,172,21,0,AF2,AFRICA,C
2469,172,21,0,AF2,AFRICA,C
2470,172,21,0,AF2,AFRICA,C
2471,172,21,0,AF2,AFRICA,C
2472,172,21,0,AF2,AFRICA,C
2473,172,21,0,AF2,AFRICA,C
2474,172,21,0,AF2,AFRICA,C
2475,172,21,0,AF2,AFRICA,C
2476,173,3,1,AM2,AMERICA,C
2477,173,3,1,AM2,AMERICA,C
2478,173,3,1,AM2,AMERICA,C
2479,173,3,1,AM2,AMERICA,C
2480,173,6,1,AM2,AMERICA,C
2481,173,21,0,AM2,AMERICA,C
2482,173,21,0,AM2,AMERICA,C
2483,173,21,0,AM2,AMERICA,C
2484,173,21,0,AM2,AMERICA,C
2485,173,21,0,AM2,AMERICA,C
2486,173,21,0,AM2,AMERICA,C
2487,173,21,0,AM2,AMERICA,C
2488,173,21,0,AM2,AMERICA,C
2489,173,21,0,AM2,AMERICA,C
2490,174,3,1,AM1,AMERICA,T
2491,174,3,1,AM1,AMERICA,T
2492,174,3,1,AM1,AMERICA,T
2493,174,3,1,AM1,AMERICA,T
2494,174,6,1,AM1,AMERICA,T
2495,174,9,1,AM1,AMERICA,T
2496,174,12,1,AM1,AMERICA,T
2497,174,12,1,AM1,AMERICA,T
2498,174,15,1,AM1,AMERICA,T
2499,174,15,1,AM1,AMERICA,T
2500,174,15,1,AM1,AMERICA,T
2501,174,21,1,AM1,AMERICA,T
2502,174,21,1,AM1,AMERICA,T
2503,174,21,1,AM1,AMERICA,T
2504,175,3,1,AM1,AMERICA,T
2505,175,6,0,AM1,AMERICA,T
2506,175,9,0,AM1,AMERICA,T
2507,175,21,1,AM1,AMERICA,T
2508,175,21,1,AM1,AMERICA,T
2509,175,21,0,AM1,AMERICA,T
2510,175,21,0,AM1,AMERICA,T
2511,175,21,0,AM1,AMERICA,T
2512,175,21,0,AM1,AMERICA,T
2513,175,21,0,AM1,AMERICA,T
2514,175,21,0,AM1,AMERICA,T
2515,175,21,0,AM1,AMERICA,T
2516,175,21,0,AM1,AMERICA,T
2517,175,21,0,AM1,AMERICA,T
2518,175,21,0,AM1,AMERICA,T
2519,176,3,1,EU2,EUROPE,T
2520,176,3,1,EU2,EUROPE,T
2521,176,9,1,EU2,EUROPE,T
2522,176,9,1,EU2,EUROPE,T
2523,176,9,1,EU2,EUROPE,T
2524,176,15,1,EU2,EUROPE,T
2525,176,15,1,EU2,EUROPE,T
2526,176,15,1,EU2,EUROPE,T
2527,176,15,1,EU2,EUROPE,T
2528,176,18,1,EU2,EUROPE,T
2529,176,21,1,EU2,EUROPE,T
2530,176,21,1,EU2,EUROPE,T
2531,176,21,0,EU2,EUROPE,T
2532,176,21,0,EU2,EUROPE,T
2533,176,21,0,EU2,EUROPE,T
2534,177,3,1,EU2,EUROPE,C
2535,177,3,1,EU2,EUROPE,C
2536,177,6,1,EU2,EUROPE,C
2537,177,9,1,EU2,EUROPE,C
2538,177,12,1,EU2,EUROPE,C
2539,177,12,1,EU2,EUROPE,C
2540,177,15,1,EU2,EUROPE,C
2541,177,21,0,EU2,EUROPE,C
2542,177,21,0,EU2,EUROPE,C
2543,177,21,0,EU2,EUROPE,C
2544,177,21,0,EU2,EUROPE,C
2545,177,21,0,EU2,EUROPE,C
2546,177,21,0,EU2,EUROPE,C
2547,177,21,0,EU2,EUROPE,C
2548,177,21,0,EU2,EUROPE,C
2549,178,3,1,EU2,EUROPE,T
2550,178,3,1,EU2,EUROPE,T
2551,178,3,1,EU2,EUROPE,T
2552,178,3,1,EU2,EUROPE,T
2553,178,3,1,EU2,EUROPE,T
2554,178,6,1,EU2,EUROPE,T
2555,178,9,1,EU2,EUROPE,T
2556,178,9,1,EU2,EUROPE,T
2557,178,12,1,EU2,EUROPE,T
2558,178,15,1,EU2,EUROPE,T
2559,178,18,1,EU2,EUROPE,T
2560,178,21,0,EU2,EUROPE,T
2561,178,21,0,EU2,EUROPE,T
2562,178,21,0,EU2,EUROPE,T
2563,178,21,0,EU2,EUROPE,T
2564,179,3,1,AS1,ASIA,T
2565,179,3,1,AS1,ASIA,T
2566,179,3,1,AS1,ASIA,T
2567,179,3,1,AS1,ASIA,T
2568,179,3,1,AS1,ASIA,T
2569,179,3,1,AS1,ASIA,T
2570,179,9,1,AS1,ASIA,T
2571,179,21,0,AS1,ASIA,T
2572,179,21,0,AS1,ASIA,T
2573,179,21,0,AS1,ASIA,T
2574,179,21,0,AS1,ASIA,T
2575,179,21,0,AS1,ASIA,T
2576,179,21,0,AS1,ASIA,T
2577,179,21,0,AS1,ASIA,T
2578,180,3,1,AM1,AMERICA,C
2579,180,15,0,AM1,AMERICA,C
2580,180,21,1,AM1,AMERICA,C
2581,180,21,1,AM1,AMERICA,C
2582,180,21,1,AM1,AMERICA,C
2583,180,21,0,AM1,AMERICA,C
2584,180,21,0,AM1,AMERICA,C
2585,180,21,0,AM1,AMERICA,C
2586,180,21,0,AM1,AMERICA,C
2587,180,21,0,AM1,AMERICA,C
2588,180,21,0,AM1,AMERICA,C
2589,180,21,0,AM1,AMERICA,C
2590,180,21,0,AM1,AMERICA,C
2591,180,21,0,AM1,AMERICA,C
2592,181,3,1,AF1,AFRICA,C
2593,181,3,1,AF1,AFRICA,C
2594,181,3,1,AF1,AFRICA,C
2595,181,3,1,AF1,AFRICA,C
2596,181,3,1,AF1,AFRICA,C
2597,181,3,1,AF1,AFRICA,C
2598,181,3,1,AF1,AFRICA,C
2599,181,3,1,AF1,AFRICA,C
2600,181,3,1,AF1,AFRICA,C
2601,181,3,1,AF1,AFRICA,C
2602,181,3,1,AF1,AFRICA,C
2603,181,3,1,AF1,AFRICA,C
2604,181,3,1,AF1,AFRICA,C
2605,181,9,1,AF1,AFRICA,C
2606,181,21,0,AF1,AFRICA,C
2607,182,3,1,AM1,AMERICA,C
2608,182,9,0,AM1,AMERICA,C
2609,182,21,0,AM1,AMERICA,C
2610,182,21,0,AM1,AMERICA,C
2611,182,21,0,AM1,AMERICA,C
2612,182,21,0,AM1,AMERICA,C
2613,182,21,0,AM1,AMERICA,C
2614,182,21,0,AM1,AMERICA,C
2615,182,21,0,AM1,AMERICA,C
2616,182,21,0,AM1,AMERICA,C
2617,182,21,0,AM1,AMERICA,C
2618,182,21,0,AM1,AMERICA,C
2619,182,21,0,AM1,AMERICA,C
2620,182,21,0,AM1,AMERICA,C
2621,182,21,0,AM1,AMERICA,C
2622,183,6,1,AM1,AMERICA,T
2623,183,9,1,AM1,AMERICA,T
2624,183,12,1,AM1,AMERICA,T
2625,183,15,1,AM1,AMERICA,T
2626,183,18,1,AM1,AMERICA,T
2627,183,18,1,AM1,AMERICA,T
2628,183,21,1,AM1,AMERICA,T
2629,183,21,1,AM1,AMERICA,T
2630,183,21,0,AM1,AMERICA,T
2631,183,21,0,AM1,AMERICA,T
2632,183,21,0,AM1,AMERICA,T
2633,183,21,0,AM1,AMERICA,T
2634,183,21,0,AM1,AMERICA,T
2635,183,21,0,AM1,AMERICA,T
2636,183,21,0,AM1,AMERICA,T
2637,184,3,1,AF2,AFRICA,T
2638,184,3,1,AF2,AFRICA,T
2639,184,9,1,AF2,AFRICA,T
2640,184,15,1,AF2,AFRICA,T
2641,184,15,1,AF2,AFRICA,T
2642,184,18,1,AF2,AFRICA,T
2643,184,21,1,AF2,AFRICA,T
2644,184,21,0,AF2,AFRICA,T
2645,184,21,0,AF2,AFRICA,T
2646,184,21,0,AF2,AFRICA,T
2647,184,21,0,AF2,AFRICA,T
2648,184,21,0,AF2,AFRICA,T
2649,184,21,0,AF2,AFRICA,T
2650,184,21,0,AF2,AFRICA,T
2651,184,21,0,AF2,AFRICA,T
2652,185,18,1,AM1,AMERICA,T
2653,185,18,1,AM1,AMERICA,T
2654,185,21,1,AM1,AMERICA,T
2655,185,21,1,AM1,AMERICA,T
2656,185,21,0,AM1,AMERICA,T
2657,185,21,0,AM1,AMERICA,T
2658,185,21,0,AM1,AMERICA,T
2659,185,21,0,AM1,AMERICA,T
2660,185,21,0,AM1,AMERICA,T
2661,185,21,0,AM1,AMERICA,T
2662,185,21,0,AM1,AMERICA,T
2663,185,21,0,AM1,AMERICA,T
2664,185,21,0,AM1,AMERICA,T
2665,186,3,1,AS1,ASIA,C
2666,186,3,1,AS1,ASIA,C
2667,186,3,1,AS1,ASIA,C
2668,186,3,1,AS1,ASIA,C
2669,186,9,1,AS1,ASIA,C
2670,186,15,0,AS1,ASIA,C
2671,186,18,1,AS1,ASIA,C
2672,186,18,1,AS1,ASIA,C
2673,186,21,0,AS1,ASIA,C
2674,186,21,0,AS1,ASIA,C
2675,186,21,0,AS1,ASIA,C
2676,186,21,0,AS1,ASIA,C
2677,186,21,0,AS1,ASIA,C
2678,186,21,0,AS1,ASIA,C
2679,187,3,1,AS1,ASIA,T
2680,187,3,1,AS1,ASIA,T
2681,187,3,1,AS1,ASIA,T
2682,187,3,1,AS1,ASIA,T
2683,187,9,1,AS1,ASIA,T
2684,187,12,1,AS1,ASIA,T
2685,187,12,1,AS1,ASIA,T
2686,187,15,1,AS1,ASIA,T
2687,187,21,1,AS1,ASIA,T
2688,187,21,0,AS1,ASIA,T
2689,187,21,0,AS1,ASIA,T
2690,187,21,0,AS1,ASIA,T
2691,187,21,0,AS1,ASIA,T
2692,188,3,1,EU2,EUROPE,C
2693,188,3,1,EU2,EUROPE,C
2694,188,3,1,EU2,EUROPE,C
2695,188,3,1,EU2,EUROPE,C
2696,188,3,1,EU2,EUROPE,C
2697,188,9,1,EU2,EUROPE,C
2698,188,21,0,EU2,EUROPE,C
2699,188,21,0,EU2,EUROPE,C
2700,188,21,0,EU2,EUROPE,C
2701,188,21,0,EU2,EUROPE,C
2702,188,21,0,EU2,EUROPE,C
2703,188,21,0,EU2,EUROPE,C
2704,188,21,0,EU2,EUROPE,C
2705,188,21,0,EU2,EUROPE,C
2706,188,21,0,EU2,EUROPE,C
2707,189,3,1,AS2,ASIA,T
2708,189,3,1,AS2,ASIA,T
2709,189,3,1,AS2,ASIA,T
2710,189,3,1,AS2,ASIA,T
2711,189,6,1,AS2,ASIA,T
2712,189,9,0,AS2,ASIA,T
2713,189,12,1,AS2,ASIA,T
2714,189,15,1,AS2,ASIA,T
2715,189,21,1,AS2,ASIA,T
2716,189,21,0,AS2,ASIA,T
2717,189,21,0,AS2,ASIA,T
2718,189,21,0,AS2,ASIA,T
2719,189,21,0,AS2,ASIA,T
2720,189,21,0,AS2,ASIA,T
2721,190,3,1,AF1,AFRICA,T
2722,190,3,1,AF1,AFRICA,T
2723,190,3,1,AF1,AFRICA,T
2724,190,3,1,AF1,AFRICA,T
2725,190,3,1,AF1,AFRICA,T
2726,190,3,1,AF1,AFRICA,T
2727,190,3,1,AF1,AFRICA,T
2728,190,3,1,AF1,AFRICA,T
2729,190,3,1,AF1,AFRICA,T
2730,190,3,1,AF1,AFRICA,T
2731,190,9,1,AF1,AFRICA,T
2732,190,21,1,AF1,AFRICA,T
2733,190,21,1,AF1,AFRICA,T
2734,190,21,0,AF1,AFRICA,T
2735,190,21,0,AF1,AFRICA,T
2736,191,3,0,AM2,AMERICA,T
2737,191,3,0,AM2,AMERICA,T
2738,191,3,0,AM2,AMERICA,T
2739,191,3,0,AM2,AMERICA,T
2740,191,3,0,AM2,AMERICA,T
2741,191,3,0,AM2,AMERICA,T
2742,191,3,0,AM2,AMERICA,T
2743,191,3,0,AM2,AMERICA,T
2744,191,3,0,AM2,AMERICA,T
2745,191,3,0,AM2,AMERICA,T
2746,191,3,0,AM2,AMERICA,T
2747,191,3,0,AM2,AMERICA,T
2748,191,3,0,AM2,AMERICA,T
2749,191,3,0,AM2,AMERICA,T
2750,191,3,0,AM2,AMERICA,T
2751,192,3,1,AS1,ASIA,T
2752,192,3,1,AS1,ASIA,T
2753,192,3,1,AS1,ASIA,T
2754,192,3,1,AS1,ASIA,T
2755,192,3,1,AS1,ASIA,T
2756,192,3,1,AS1,ASIA,T
2757,192,3,1,AS1,ASIA,T
2758,192,3,1,AS1,ASIA,T
2759,192,3,1,AS1,ASIA,T
2760,192,3,1,AS1,ASIA,T
2761,192,12,1,AS1,ASIA,T
2762,192,15,1,AS1,ASIA,T
2763,192,21,1,AS1,ASIA,T
2764,192,21,0,AS1,ASIA,T
2765,192,21,0,AS1,ASIA,T
2766,193,6,0,AM2,AMERICA,T
2767,193,6,0,AM2,AMERICA,T
2768,193,9,1,AM2,AMERICA,T
2769,193,9,1,AM2,AMERICA,T
2770,193,12,1,AM2,AMERICA,T
2771,193,21,0,AM2,AMERICA,T
2772,193,21,0,AM2,AMERICA,T
2773,193,21,0,AM2,AMERICA,T
2774,193,21,0,AM2,AMERICA,T
2775,193,21,0,AM2,AMERICA,T
2776,193,21,0,AM2,AMERICA,T
2777,193,21,0,AM2,AMERICA,T
2778,193,21,0,AM2,AMERICA,T
2779,194,3,1,AS2,ASIA,T
2780,194,3,0,AS2,ASIA,T
2781,194,9,1,AS2,ASIA,T
2782,194,12,1,AS2,ASIA,T
2783,194,12,1,AS2,ASIA,T
2784,194,15,1,AS2,ASIA,T
2785,194,15,1,AS2,ASIA,T
2786,194,18,1,AS2,ASIA,T
2787,194,21,1,AS2,ASIA,T
2788,194,21,1,AS2,ASIA,T
2789,194,21,0,AS2,ASIA,T
2790,194,21,0,AS2,ASIA,T
2791,194,21,0,AS2,ASIA,T
2792,194,21,0,AS2,ASIA,T
2793,195,3,1,AS1,ASIA,T
2794,195,6,0,AS1,ASIA,T
2795,195,12,1,AS1,ASIA,T
2796,195,12,1,AS1,ASIA,T
2797,195,15,1,AS1,ASIA,T
2798,195,15,1,AS1,ASIA,T
2799,195,21,1,AS1,ASIA,T
2800,195,21,1,AS1,ASIA,T
2801,195,21,1,AS1,ASIA,T
2802,195,21,0,AS1,ASIA,T
2803,195,21,0,AS1,ASIA,T
2804,195,21,0,AS1,ASIA,T
2805,196,3,1,AS1,ASIA,C
2806,196,3,1,AS1,ASIA,C
2807,196,3,1,AS1,ASIA,C
2808,196,3,1,AS1,ASIA,C
2809,196,3,1,AS1,ASIA,C
2810,196,12,1,AS1,ASIA,C
2811,196,18,1,AS1,ASIA,C
2812,196,21,0,AS1,ASIA,C
2813,196,21,0,AS1,ASIA,C
2814,196,21,0,AS1,ASIA,C
2815,196,21,0,AS1,ASIA,C
2816,196,21,0,AS1,ASIA,C
2817,196,21,0,AS1,ASIA,C
2818,196,21,0,AS1,ASIA,C
2819,196,21,0,AS1,ASIA,C
2820,197,3,1,AF2,AFRICA,T
2821,197,3,1,AF2,AFRICA,T
2822,197,15,1,AF2,AFRICA,T
2823,197,15,1,AF2,AFRICA,T
2824,197,18,1,AF2,AFRICA,T
2825,197,21,1,AF2,AFRICA,T
2826,197,21,1,AF2,AFRICA,T
2827,197,21,1,AF2,AFRICA,T
2828,197,21,1,AF2,AFRICA,T
2829,197,21,0,AF2,AFRICA,T
2830,197,21,0,AF2,AFRICA,T
2831,197,21,0,AF2,AFRICA,T
2832,197,21,0,AF2,AFRICA,T
2833,197,21,0,AF2,AFRICA,T
2834,198,3,1,AF2,AFRICA,C
2835,198,3,1,AF2,AFRICA,C
2836,198,3,1,AF2,AFRICA,C
2837,198,3,1,AF2,AFRICA,C
2838,198,3,1,AF2,AFRICA,C
2839,198,3,1,AF2,AFRICA,C
2840,198,21,0,AF2,AFRICA,C
2841,198,21,0,AF2,AFRICA,C
2842,198,21,0,AF2,AFRICA,C
2843,198,21,0,AF2,AFRICA,C
2844,198,21,0,AF2,AFRICA,C
2845,198,21,0,AF2,AFRICA,C
2846,198,21,0,AF2,AFRICA,C
2847,198,21,0,AF2,AFRICA,C
2848,198,21,0,AF2,AFRICA,C
2849,199,3,1,EU2,EUROPE,T
2850,199,6,1,EU2,EUROPE,T
2851,199,9,1,EU2,EUROPE,T
2852,199,9,1,EU2,EUROPE,T
2853,199,9,1,EU2,EUROPE,T
2854,199,12,1,EU2,EUROPE,T
2855,199,15,1,EU2,EUROPE,T
2856,199,18,1,EU2,EUROPE,T
2857,199,18,1,EU2,EUROPE,T
2858,199,18,1,EU2,EUROPE,T
2859,199,21,1,EU2,EUROPE,T
2860,199,21,1,EU2,EUROPE,T
2861,199,21,0,EU2,EUROPE,T
2862,199,21,0,EU2,EUROPE,T
2863,199,21,0,EU2,EUROPE,T
2864,200,3,1,AS2,ASIA,T
2865,200,9,1,AS2,ASIA,T
2866,200,12,1,AS2,ASIA,T
2867,200,12,1,AS2,ASIA,T
2868,200,12,1,AS2,ASIA,T
2869,200,15,1,AS2,ASIA,T
2870,200,15,1,AS2,ASIA,T
2871,200,15,1,AS2,ASIA,T
2872,200,18,1,AS2,ASIA,T
2873,200,18,1,AS2,ASIA,T
2874,200,18,1,AS2,ASIA,T
2875,200,21,1,AS2,ASIA,T
2876,200,21,0,AS2,ASIA,T
2877,200,21,0,AS2,ASIA,T
2878,200,21,0,AS2,ASIA,T
2879,201,3,1,AS1,ASIA,T
2880,201,3,1,AS1,ASIA,T
2881,201,3,1,AS1,ASIA,T
2882,201,3,1,AS1,ASIA,T
2883,201,3,1,AS1,ASIA,T
2884,201,3,1,AS1,ASIA,T
2885,201,3,1,AS1,ASIA,T
2886,201,9,1,AS1,ASIA,T
2887,201,12,1,AS1,ASIA,T
2888,201,12,1,AS1,ASIA,T
2889,201,21,0,AS1,ASIA,T
2890,201,21,0,AS1,ASIA,T
2891,202,3,1,EU1,EUROPE,T
2892,202,3,1,EU1,EUROPE,T
2893,202,3,1,EU1,EUROPE,T
2894,202,3,1,EU1,EUROPE,T
2895,202,3,1,EU1,EUROPE,T
2896,202,3,1,EU1,EUROPE,T
2897,202,3,1,EU1,EUROPE,T
2898,202,3,1,EU1,EUROPE,T
2899,202,3,1,EU1,EUROPE,T
2900,202,9,1,EU1,EUROPE,T
2901,202,9,0,EU1,EUROPE,T
2902,202,18,0,EU1,EUROPE,T
2903,202,21,0,EU1,EUROPE,T
2904,202,21,0,EU1,EUROPE,T
2905,202,21,0,EU1,EUROPE,T
2906,203,3,1,AF1,AFRICA,T
2907,203,3,1,AF1,AFRICA,T
2908,203,3,1,AF1,AFRICA,T
2909,203,3,1,AF1,AFRICA,T
2910,203,3,1,AF1,AFRICA,T
2911,203,3,1,AF1,AFRICA,T
2912,203,3,1,AF1,AFRICA,T
2913,203,9,1,AF1,AFRICA,T
2914,203,15,1,AF1,AFRICA,T
2915,203,18,1,AF1,AFRICA,T
2916,203,21,1,AF1,AFRICA,T
2917,203,21,1,AF1,AFRICA,T
2918,203,21,0,AF1,AFRICA,T
2919,203,21,0,AF1,AFRICA,T
2920,203,21,0,AF1,AFRICA,T
2921,204,3,1,EU2,EUROPE,T
2922,204,3,1,EU2,EUROPE,T
2923,204,3,1,EU2,EUROPE,T
2924,204,6,1,EU2,EUROPE,T
2925,204,6,1,EU2,EUROPE,T
2926,204,6,0,EU2,EUROPE,T
2927,204,12,1,EU2,EUROPE,T
2928,204,18,1,EU2,EUROPE,T
2929,204,18,1,EU2,EUROPE,T
2930,204,21,0,EU2,EUROPE,T
2931,204,21,0,EU2,EUROPE,T
2932,204,21,0,EU2,EUROPE,T
2933,204,21,0,EU2,EUROPE,T
2934,204,21,0,EU2,EUROPE,T
2935,204,21,0,EU2,EUROPE,T
2936,205,3,1,AM2,AMERICA,T
2937,205,3,1,AM2,AMERICA,T
2938,205,6,1,AM2,AMERICA,T
2939,205,9,1,AM2,AMERICA,T
2940,205,12,1,AM2,AMERICA,T
2941,205,15,1,AM2,AMERICA,T
2942,205,15,1,AM2,AMERICA,T
2943,205,21,0,AM2,AMERICA,T
2944,205,21,0,AM2,AMERICA,T
2945,205,21,0,AM2,AMERICA,T
2946,205,21,0,AM2,AMERICA,T
2947,205,21,0,AM2,AMERICA,T
2948,205,21,0,AM2,AMERICA,T
2949,205,21,0,AM2,AMERICA,T
2950,205,21,0,AM2,AMERICA,T
2951,206,3,1,AS1,ASIA,C
2952,206,3,1,AS1,ASIA,C
2953,206,3,1,AS1,ASIA,C
2954,206,3,1,AS1,ASIA,C
2955,206,3,1,AS1,ASIA,C
2956,206,3,1,AS1,ASIA,C
2957,206,21,0,AS1,ASIA,C
2958,206,21,0,AS1,ASIA,C
2959,206,21,0,AS1,ASIA,C
2960,206,21,0,AS1,ASIA,C
2961,206,21,0,AS1,ASIA,C
2962,206,21,0,AS1,ASIA,C
2963,206,21,0,AS1,ASIA,C
2964,206,21,0,AS1,ASIA,C
2965,206,21,0,AS1,ASIA,C
2966,207,3,1,EU2,EUROPE,C
2967,207,3,1,EU2,EUROPE,C
2968,207,6,0,EU2,EUROPE,C
2969,207,6,0,EU2,EUROPE,C
2970,207,6,0,EU2,EUROPE,C
2971,207,15,0,EU2,EUROPE,C
2972,207,15,0,EU2,EUROPE,C
2973,207,15,0,EU2,EUROPE,C
2974,207,15,0,EU2,EUROPE,C
2975,207,15,0,EU2,EUROPE,C
2976,207,15,0,EU2,EUROPE,C
